Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C206, C213, C214, C215, C218, C403, C404, C405, C406, C407, C408, C409, C410, C411, C412, C419, C501, C504, C506, C513, C515, C707, C714, C715, C716, C717, C718, C719, C801, C805, C812, C813, C814, C904",0402,35,100n,CC0402KRX7R9BB104
"C202, C203, C207",2220,3,22u,C5750X7R1H226M250KB
"C204, C205",1206,2,4u7,GRM31CR71H475KA12K
"C208, C209, C211, C220, C223, C225, C226",0805,7,4u7,CGA4J3X5R1H475K125AB
"C210, C304, C305, C420, C507, C512, C809, C901, C902",0402,9,1u,UMK105CBJ105MV-F
"C212, C219, C222",1206,3,47u,C3216X5R1C476M160AB
C216,0402,1,39p,CC0402FRNPO9BN390
C217,0805,1,2u2,CGA4J1X7R1V225K125AC
"C301, C302, C303, C508, C509, C510",1206,6,1.5u,C3216X7S2A155K160AB
C306,0402,1,2.2n,C0402C222J5RAC7867
"C307, C502",0402,2,10n,GCM155R71H103KA55D
"C401, C402",0402,2,9p,GRM1555C1H9R0BA01D
C413,0402,1,4u7,04023D475MAT2A
C415,0402,1,220p,0402N221J500CT
"C416, C421, C503, C505, C802, C810, C811, C815, C903",0603,9,10u,GRM188R61E106MA73D
"C701, C704, C708, C711",0402,4,15p,CC0402JRNPO9BN150
"C702, C705, C709, C712",0402,4,20p,CC0402JRNPO9BN200
"C703, C706, C710, C713",0402,4,24p,CC0402JRNPO9BN240
"C803, C804, C806",0603,3,1u,06035C105KAT2A
"C807, C808",0603,2,2n7,CC0603KRX7R9BB272
"D301, D501",D_PowerDI-123,2,DFLS2100-7,DFLS2100-7
"FB201, FB202, FB501, FB801, FB803",0805,5,2.2k/200mA,742792093
"J901, J903",AMPHENOL_10162581-3134121LF,2,10162581-3134121LF,10162581-3134121LF
"J902, J904",AMPHENOL_10162582-1134121LF,2,10162582-1134121LF,10162582-1134121LF
L201,L_Wuerth_MAPI-3020,1,10u,74438336100
L202,0603,1,470nH,LQM18PNR47NC0L
"L203, L205",L_Wuerth_MAPI-4020,2,15u 1.9A,74438356150
L301,IND25X25CZ,1,8u2,IHLP2525CZER8R2M01
L401,Inductor_0806,1,2.2u,DFE201612PD-2R2M=P2
L501,RES_CIGT201610,1,1u/4.2A,CIGT201610EH1R0MNE
"Q301, Q302",SOT-23,2,PMV45EN2,PMV45EN2R
"Q501, Q502",UDFN6B_TOS,2,SSM6K361NU,"SSM6K361NU,LF"
R201,0402,1,69k8,RC0402FR-0769K8L
R202,0402,1,91k,RC0402FR-0791KL
"R203, R209, R305",0402,3,22k1,RC0402FR-0722K1L
"R204, R210, R702, R713",0402,4,40k2,RC0402FR-0740K2L
R207,0402,1,102k,RC0402FR-07102KL
"R208, R309, R310, R311, R501, R502, R505, R703, R712, R720, R912",0402,11,68k1,RC0402FR-0768K1L
R301,0402,1,1M,CRGCQ0402F1M0
R302,0402,1,34k8,RMCF0402FT34K8
"R303, R701",0402,2,71k5,RC0402FR-0771K5L
R304,0402,1,130k,RC0402FR-07130KL
R306,0402,1,0R,RC0402JR-070RL
"R307, R308, R401, R714, R715, R721, R722, R806, R807",0402,9,10k,RC1005F103CS
"R402, R403, R404, R405, R406, R407, R408, R409, R410, R411, R412, R413, R503, R504",0402,14,33R,RC0402JR-0733RL
R506,0402,1,36k5,ERJ-2RKF3652X
"R601, R602, R603, R604, R710",0402,5,270R,RMCF0402FT270R
R704,0402,1,20k5,RC0402FR-0720K5L
R705,0603,1,100k,RC0402FR-07100KL
R706,0402,1,19k6,RC0402FR-0719K6L
"R707, R709, R717, R718",0402,4,2k55,RC0402FR-072K55L
R708,0402,1,1k58,RC0402FR-071K58L
"R711, R719",0402,2,1k47,RC0402FR-071K47L
"R801, R802",0402,2,20R,RC0402FR-0720RL
"R803, R804",0402,2,100R,RC0402FR-07100RL
"U201, U203",SOT-23-6,2,LMR54406,LMR54406FDBVR
U202,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,LM27761,LM27761DSGR
U204,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042EMSE,LT3042EMSE#TRPBF
"U301, U901",SOT95P280X145-6N,2,TPS22810DBV,TPS22810TDBVRQ1
U302,SOP50P490X110-17N,1,LT8361,LT8361HMSE#PBF
U401,UFBGA-201_10x10mm_Layout15x15_P0.65mm,1,STM32H725IGK6,STM32H725IGK6
U402,S27KS0642GABHV020_1,1,S70KL1282,S70KL1282GABHV020
U501,AD5932YRUZ,1,AD5932YRUZ,AD5932YRUZ
U502,LTC7060,1,LTC7060IMSE-PBF,LTC7060IMSE#WTRPBF
U504,SOT-23,1,TLV760_12,TLV76012DBZR
"U601, U602, U603, U604, U703",TLP3409STP_E,5,TLP3409STP_E,"TLP3409S(TP,E"
"U701, U702, U704, U802",SOT-23-8,4,AD8039,AD8039ARTZ-REEL7
U801,AD7383,1,AD7383,AD7383BCPZ-RL7
U803,REF3430,1,REF3430,REF3430TIDBVR
Y401,XTAL_ECS-160-9-37-CKM-TR,1,ECX-1637_25MHz,ECS-250-8-37-RWN-TR
