Designator,Mid X,Mid Y,Rotation,Layer
C201,17.85,11.185,270.0,top
C202,10.6625,4.8,90.0,top
C203,17.4625,4.8,270.0,top
C204,4.9125,6.3,0.0,top
C205,6.5125,11.2,0.0,top
C206,13.35,11.185,90.0,top
C207,25.4,4.85,270.0,top
C208,26.95,22.1,270.0,top
C209,23.7,24.1,270.0,top
C210,25.94375,28.43125,0.0,top
C211,29.01875,24.08125,270.0,top
C212,30.34375,20.98125,180.0,top
C213,3.535,16.05,0.0,top
C214,14.5,27.15,270.0,top
C215,6.25,19.4,270.0,top
C216,1.7,22.7,90.0,top
C217,2.2,13.75,90.0,top
C218,22.05,23.275,270.0,top
C219,9.4,26.35,270.0,top
C220,12.952,26.876,270.0,top
C222,14.4,23.7,180.0,top
C223,14.85,21.5,180.0,top
C225,16.65,17.8,180.0,top
C226,23.05,20.6,90.0,top
C301,86.3875,26.17,90.0,bottom
C302,83.3875,26.17,270.0,bottom
C303,80.3875,26.17,90.0,bottom
C304,96.8,33.6,90.0,top
C305,96.4,29.25,270.0,bottom
C306,93.5,35.85,180.0,top
C307,87.7,33.2,180.0,top
C401,87.4,5.964,0.0,bottom
C402,87.503,2.164,180.0,bottom
C403,77.725,11.13,90.0,bottom
C404,80.65,14.855,270.0,bottom
C405,80.65,11.11,90.0,bottom
C406,78.685,11.12,90.0,bottom
C407,78.7,14.855,270.0,bottom
C408,79.685,11.18,90.0,bottom
C409,77.725,14.855,270.0,bottom
C410,79.675,14.855,270.0,bottom
C411,81.625,14.855,270.0,bottom
C412,81.625,11.11,90.0,bottom
C413,81.3,12.735,0.0,bottom
C415,72.18,12.431,0.0,bottom
C416,72.053,17.257,0.0,bottom
C419,82.5,-0.85,90.0,bottom
C420,74.875,-1.58,270.0,bottom
C421,86.5,17.45,90.0,top
C501,72.308498,36.198401,180.0,top
C502,76.308498,34.498401,0.0,top
C503,74.569998,31.258401,270.0,bottom
C504,75.908498,35.998401,0.0,top
C505,72.029998,31.258401,270.0,bottom
C506,73.808498,36.098401,90.0,top
C507,41.5,23.5,270.0,bottom
C508,57.1,27.55,90.0,top
C509,54.3,27.55,90.0,top
C510,51.3,27.55,90.0,top
C512,35.0,21.098999,180.0,top
C513,36.4,26.28,90.0,bottom
C515,31.9,26.3,90.0,bottom
C701,36.2,15.6,90.0,top
C702,28.5,14.9,0.0,top
C703,43.989,6.047,0.0,top
C704,37.2,14.6,270.0,top
C705,28.5,13.9,0.0,top
C706,43.989,5.031,0.0,top
C707,44.01,4.05,180.0,top
C708,44.8875,12.425,270.0,bottom
C709,36.7375,13.159,180.0,bottom
C710,52.646,4.939,180.0,top
C711,45.8375,13.375,90.0,bottom
C712,36.7375,14.175,180.0,bottom
C713,52.646,3.923,180.0,top
C714,49.93,6.65,180.0,top
C715,30.98,11.45,180.0,top
C716,33.2,15.95,0.0,top
C717,39.4575,16.925,0.0,bottom
C718,41.7375,12.375,180.0,bottom
C719,47.6725,2.145,0.0,top
C801,61.3,3.35,270.0,bottom
C802,62.6,3.1,270.0,bottom
C803,67.565401,0.4854,90.0,bottom
C804,68.0,-5.35,0.0,top
C805,63.865401,-5.2646,180.0,top
C806,66.765401,1.2354,0.0,top
C807,62.5,-4.014599,180.0,top
C808,62.5,-0.414599,180.0,top
C809,29.355521,2.7,270.0,top
C810,31.905521,1.9,180.0,top
C811,40.525,4.59,270.0,top
C812,39.475,6.94,0.0,top
C813,35.675,6.24,90.0,top
C814,60.2,3.35,270.0,bottom
C815,58.8,3.05,270.0,bottom
C901,63.4,31.05,180.0,top
C902,60.7,35.9,0.0,top
C903,59.1,33.6,90.0,top
C904,60.7,31.05,0.0,top
D301,89.6,26.5,0.0,top
D501,39.1844,26.824999,180.0,top
FB201,31.41875,24.01875,270.0,top
FB202,15.9,26.7,270.0,top
FB501,73.045998,33.798401,180.0,bottom
FB801,62.4,5.5,180.0,bottom
FB803,58.8,5.4618,180.0,bottom
FID101,84.65,-5.95,0.0,top
FID102,98.3,28.05,0.0,top
FID103,1.4,28.45,0.0,top
FID104,2.0,10.75,0.0,top
FID105,7.0,27.75,0.0,bottom
FID106,28.0,4.75,0.0,bottom
FID107,96.0,2.75,0.0,bottom
FID108,98.0,33.75,0.0,bottom
J901,93.0,15.0,90.0,bottom
J902,93.0,15.0,90.0,top
J903,8.0,15.0,90.0,bottom
J904,67.0,15.0,90.0,top
L201,4.5125,3.0,180.0,top
L202,4.2125,9.15,0.0,top
L203,20.6,11.385,90.0,top
L205,6.1,24.5,180.0,top
L301,91.5,32.75,0.0,bottom
L401,71.926,14.717,90.0,bottom
L501,48.8144,20.971899,270.0,top
Logo101,91.8,1.95,0.0,top
Logo201,-40.27,64.02,0.0,top
Logo301,-23.1,64.02,0.0,top
Logo401,-23.1,52.95,0.0,top
Logo501,-40.27,41.88,0.0,top
Logo601,-40.27,75.09,0.0,top
Logo701,-40.27,52.95,0.0,top
Logo801,59.226,-65.89,0.0,bottom
Logo901,91.8,1.95,0.0,bottom
Q301,81.25,33.95,180.0,bottom
Q302,81.25,30.45,180.0,bottom
Q501,44.8144,20.848999,0.0,top
Q502,44.8144,24.348999,0.0,top
R201,16.15,15.1,180.0,top
R202,28.16875,28.36875,180.0,top
R203,14.1,14.085,180.0,top
R204,28.94375,27.36875,0.0,top
R207,2.9,22.75,270.0,top
R208,2.585,17.1,180.0,top
R209,1.7,20.5,270.0,top
R210,18.95,17.85,270.0,top
R301,85.1,31.75,180.0,bottom
R302,85.1,33.95,0.0,bottom
R303,85.1,32.85,0.0,bottom
R304,85.75,35.25,180.0,top
R305,94.9,35.8,90.0,top
R306,87.7,32.2,180.0,top
R307,87.7,34.2,0.0,top
R308,85.75,34.2,0.0,top
R309,78.1875,30.745,90.0,bottom
R310,78.1875,34.145,90.0,bottom
R311,78.3,33.26,90.0,top
R401,71.86,10.83,180.0,bottom
R402,73.8,4.4,270.0,bottom
R403,77.075,4.425,270.0,bottom
R404,77.075,4.425,270.0,top
R405,79.025,4.425,270.0,bottom
R406,80.0,4.425,270.0,bottom
R407,84.389,4.425,270.0,top
R408,83.7,4.8,270.0,bottom
R409,74.8,4.425,270.0,bottom
R410,73.825,4.425,270.0,top
R411,81.625,4.425,270.0,top
R412,75.775,4.425,270.0,bottom
R413,80.0,4.425,270.0,top
R501,76.601998,30.242401,180.0,top
R502,76.601998,31.258401,180.0,top
R503,69.008498,34.15,180.0,top
R504,69.008498,35.398401,180.0,top
R505,35.0804,20.048998,180.0,top
R506,35.0,22.05,0.0,top
R601,57.75,11.4,90.0,top
R602,57.75,14.35,90.0,top
R603,57.75,17.4,90.0,top
R604,57.75,20.3,90.0,top
R701,35.2,13.6,90.0,top
R702,29.9555,14.415,90.0,top
R703,45.513,5.539,90.0,top
R704,36.75,11.1,180.0,top
R705,25.7,14.95,90.0,top
R706,43.9725,8.09,0.0,top
R707,27.0,14.45,270.0,top
R708,36.7,12.135,0.0,top
R709,27.5,12.9,0.0,top
R710,29.922,16.45,90.0,top
R711,43.989,7.063,180.0,top
R712,51.122,4.431,90.0,top
R713,38.2935,13.609,270.0,bottom
R714,35.2035,13.675,90.0,bottom
R715,52.6,6.99,0.0,top
R717,45.4,15.966,180.0,bottom
R718,36.7375,15.191,0.0,bottom
R719,52.644,5.955,0.0,top
R720,43.876,14.442,270.0,bottom
R721,42.8375,16.875,0.0,bottom
R722,51.55,8.05,0.0,top
R801,63.0,-2.714599,180.0,top
R802,63.0,-1.714599,180.0,top
R803,69.0,-3.614599,90.0,top
R804,70.065401,-2.7146,270.0,top
R806,35.725,3.69,90.0,top
R807,34.675,3.69,270.0,top
R912,63.4,35.9,180.0,top
U201,15.6,11.485,270.0,top
U202,26.69375,26.23125,90.0,top
U203,4.035,19.65,270.0,top
U204,19.7,22.0,270.0,top
U301,81.7,33.75,0.0,top
U302,92.391,32.4,180.0,top
U401,79.675,13.06,90.0,top
U402,78.675,-2.44,180.0,bottom
U501,72.674999,31.289001,270.0,top
U502,39.1844,22.374999,0.0,top
U504,34.15,26.8,90.0,bottom
U601,60.6,11.4,0.0,top
U602,60.599999,14.349999,0.0,top
U603,60.599999,17.400001,0.0,top
U604,60.6,20.4,0.0,top
U701,32.55,13.7,0.0,top
U702,48.3225,4.39,0.0,top
U703,27.955001,16.341999,180.0,top
U704,41.0875,14.625,180.0,bottom
U801,66.2,-2.214599,270.0,top
U802,37.975,4.24,90.0,top
U803,31.755521,4.8,270.0,top
U901,62.05,33.6,180.0,top
Y401,87.503,4.064,270.0,bottom
